ep-775120 CC(OC(F)=C(F)F)C(F)(F)F
ep-775121 FC=C(F)OC(C(F)F)C(F)F
ep-775122 FCC(OC(F)=C(F)F)C(F)F
ep-775123 C=COC(C(F)(F)F)C(F)(F)F
ep-775124 FC=COC(C(F)F)C(F)(F)F
ep-775125 FCC(OC=C(F)F)C(F)(F)F
ep-775126 FC(F)=COC(C(F)F)C(F)F
ep-775127 C#COC(F)(C(F)F)C(F)(F)F
ep-775128 FC#COC(F)(CF)C(F)(F)F
ep-775129 FC#COC(F)(C(F)F)C(F)F
ep-775130 C#COC(C(F)(F)F)C(F)(F)F
ep-775131 FC#COC(C(F)F)C(F)(F)F
ep-775167 FC#COC(=C(F)F)C(F)(F)F
ep-775168 FC#COC(F)(F)C(F)(F)CF
